tagID,tagValue
0,metal
1,alternative metal
2,goth rock
3,black metal
4,death metal
5,industrial metal
6,gothic metal
7,terror ebm
8,electro-industrial
9,harsh ebm
10,post black metal
11,aggrotech
12,chillout
13,ambient
14,downtempo
15,new wave
16,synth pop
17,electronic
18,80's
19,lounge
20,trip-hop
21,acid jazz
22,new age
23,pop
24,80s
25,atmospheric
26,ethereal
27,deutsch
28,schlager
29,german
30,hi-nrg
31,avant-garde
32,experimental
33,minimal
34,cyberpunk
35,club house
36,groove
37,cafe del mar
38,dance
39,gregorian chant
40,female vovalists
41,synth-pop
42,classic 80s
43,glitch
44,u-cover
45,melancholy
46,idm
47,vu-us
48,female vocalist
49,modern classical
50,clicks and cuts
51,databloem
52,field recording
53,october man recordings
54,greece
55,melancholic
56,clicks'n'cuts
57,halbischt
58,drone
59,melodramatic popular song minimal
60,industrial
61,trip hop
62,basses frequences
63,mille plateaux
64,folktronica
65,abstract
66,noise
67,glitch hop
68,dub
69,dubstep
70,hiphop
71,hard rock
72,rock
73,synthpop
74,psychedelic rock
75,progressive metal
76,ambient rock
77,alternative rock
78,alternative
79,glam rock
80,indie
81,doom metal
82,jazz
83,indie rock
84,funk
85,ebm
86,post-rock
87,psychedelic
88,symphonic metal
89,trance
90,thrash metal
91,dope
92,israeli
93,winter
94,autumn
95,spring
96,want
97,summer
98,sunshine
99,hip hop under
100,raptuga
101,hip-hop
102,rap
103,chill out
104,house
105,taraxinha
106,kizomba
107,rock and roll
108,pop rock
109,kizomba zouk
110,70 hits
111,underground hip hp
112,hip hop angolano
113,luso hip hop
114,french rap
115,jam
116,kwasa
117,semba
118,angola
119,world music
120,uk
121,old school
122,new york
123,pop dance
124,manguraunderground
125,zouk
126,seen live
127,hit
128,music idol
129,female vocalists
130,girl groups
131,girls
132,deutschsprachig
133,singer-songwriter
134,german artists
135,bundesvision song contest 2006
136,specials to 3mmey
137,hard rock - metal
138,j-rock
139,j-pop
140,visual kei
141,electronic - trance - psytrance
142,classical - pop
143,arabic
144,kpop
145,jaebeom
146,top
147,gd
148,g-dragon
149,2pm
150,wonder girls
151,jyp
152,junsu
153,2am
154,park jaebum
155,park jaebeom
156,jaebum
157,jaywalkers
158,anime
159,noise rock
160,kim jong kook
161,soya
162,niece
163,k-pop
164,good music
165,death cab for cutie
166,rnb
167,teen rock
168,pop punk
169,grunge
170,my fav punk band
171,so cool
172,lyceum
173,belarussian pop
174,belarussian rnb
175,emo
176,nu metal
177,screamo
178,gothic
179,post-hardcore
180,punk
181,punk rock
182,christian rock
183,soundtrack
184,acoustic
185,emocore
186,electronica
187,polish
